frase,categoria,frase_norm,tokens,bigrams,trigrams
a que hora cenamos,Alimentacion (Comidas y Bebidas),a que hora cenamos,"['a', 'que', 'hora', 'cenamos']","['a que', 'que hora', 'hora cenamos']","['a que hora', 'que hora cenamos']"
tengo un hueco en el estomago,Rutinas Diarias (Acciones y Hogar),tengo un hueco en el estomago,"['tengo', 'un', 'hueco', 'en', 'el', 'estomago']","['tengo un', 'un hueco', 'hueco en', 'en el', 'el estomago']","['tengo un hueco', 'un hueco en', 'hueco en el', 'en el estomago']"
me ruge la panza,Alimentacion (Comidas y Bebidas),me ruge la panza,"['me', 'ruge', 'la', 'panza']","['me ruge', 'ruge la', 'la panza']","['me ruge la', 'ruge la panza']"
quiero una ensalada,Alimentacion (Comidas y Bebidas),quiero una ensalada,"['quiero', 'una', 'ensalada']","['quiero una', 'una ensalada']",['quiero una ensalada']
dame lechuga y tomate,Rutinas Diarias (Acciones y Hogar),dame lechuga y tomate,"['dame', 'lechuga', 'y', 'tomate']","['dame lechuga', 'lechuga y', 'y tomate']","['dame lechuga y', 'lechuga y tomate']"
no me eches cebolla,Rutinas Diarias (Acciones y Hogar),no me eches cebolla,"['no', 'me', 'eches', 'cebolla']","['no me', 'me eches', 'eches cebolla']","['no me eches', 'me eches cebolla']"
me gusta con limon,Rutinas Diarias (Acciones y Hogar),me gusta con limon,"['me', 'gusta', 'con', 'limon']","['me gusta', 'gusta con', 'con limon']","['me gusta con', 'gusta con limon']"
echale sal,Rutinas Diarias (Acciones y Hogar),echale sal,"['echale', 'sal']",['echale sal'],[]
quiero comer palta,Alimentacion (Comidas y Bebidas),quiero comer palta,"['quiero', 'comer', 'palta']","['quiero comer', 'comer palta']",['quiero comer palta']
dame un pan con palta,Alimentacion (Comidas y Bebidas),dame un pan con palta,"['dame', 'un', 'pan', 'con', 'palta']","['dame un', 'un pan', 'pan con', 'con palta']","['dame un pan', 'un pan con', 'pan con palta']"
quiero un huevo frito,Rutinas Diarias (Acciones y Hogar),quiero un huevo frito,"['quiero', 'un', 'huevo', 'frito']","['quiero un', 'un huevo', 'huevo frito']","['quiero un huevo', 'un huevo frito']"
huevo duro por favor,Rutinas Diarias (Acciones y Hogar),huevo duro por favor,"['huevo', 'duro', 'por', 'favor']","['huevo duro', 'duro por', 'por favor']","['huevo duro por', 'duro por favor']"
me gusta el atun,Rutinas Diarias (Acciones y Hogar),me gusta el atun,"['me', 'gusta', 'el', 'atun']","['me gusta', 'gusta el', 'el atun']","['me gusta el', 'gusta el atun']"
dame una lata de atun,Rutinas Diarias (Acciones y Hogar),dame una lata de atun,"['dame', 'una', 'lata', 'de', 'atun']","['dame una', 'una lata', 'lata de', 'de atun']","['dame una lata', 'una lata de', 'lata de atun']"
quiero una tostada,Rutinas Diarias (Acciones y Hogar),quiero una tostada,"['quiero', 'una', 'tostada']","['quiero una', 'una tostada']",['quiero una tostada']
pan con mermelada,Alimentacion (Comidas y Bebidas),pan con mermelada,"['pan', 'con', 'mermelada']","['pan con', 'con mermelada']",['pan con mermelada']
me sirves mi plato,Rutinas Diarias (Acciones y Hogar),me sirves mi plato,"['me', 'sirves', 'mi', 'plato']","['me sirves', 'sirves mi', 'mi plato']","['me sirves mi', 'sirves mi plato']"
voy a comer solo,Alimentacion (Comidas y Bebidas),voy a comer solo,"['voy', 'a', 'comer', 'solo']","['voy a', 'a comer', 'comer solo']","['voy a comer', 'a comer solo']"
no me ayudes,Rutinas Diarias (Acciones y Hogar),no me ayudes,"['no', 'me', 'ayudes']","['no me', 'me ayudes']",['no me ayudes']
se me ensucio la ropa con comida,Rutinas Diarias (Acciones y Hogar),se me ensucio la ropa con comida,"['se', 'me', 'ensucio', 'la', 'ropa', 'con', 'comida']","['se me', 'me ensucio', 'ensucio la', 'la ropa', 'ropa con', 'con comida']","['se me ensucio', 'me ensucio la', 'ensucio la ropa', 'la ropa con', 'ropa con comida']"
ponme un babero,Rutinas Diarias (Acciones y Hogar),ponme un babero,"['ponme', 'un', 'babero']","['ponme un', 'un babero']",['ponme un babero']
limpia la mesa,Rutinas Diarias (Acciones y Hogar),limpia la mesa,"['limpia', 'la', 'mesa']","['limpia la', 'la mesa']",['limpia la mesa']
se derramo el jugo,Alimentacion (Comidas y Bebidas),se derramo el jugo,"['se', 'derramo', 'el', 'jugo']","['se derramo', 'derramo el', 'el jugo']","['se derramo el', 'derramo el jugo']"
se cayo el agua,Alimentacion (Comidas y Bebidas),se cayo el agua,"['se', 'cayo', 'el', 'agua']","['se cayo', 'cayo el', 'el agua']","['se cayo el', 'cayo el agua']"
ayudame a limpiar,Rutinas Diarias (Acciones y Hogar),ayudame a limpiar,"['ayudame', 'a', 'limpiar']","['ayudame a', 'a limpiar']",['ayudame a limpiar']
quiero comer en mi silla,Alimentacion (Comidas y Bebidas),quiero comer en mi silla,"['quiero', 'comer', 'en', 'mi', 'silla']","['quiero comer', 'comer en', 'en mi', 'mi silla']","['quiero comer en', 'comer en mi', 'en mi silla']"
dame mi plato de plastico,Rutinas Diarias (Acciones y Hogar),dame mi plato de plastico,"['dame', 'mi', 'plato', 'de', 'plastico']","['dame mi', 'mi plato', 'plato de', 'de plastico']","['dame mi plato', 'mi plato de', 'plato de plastico']"
quiero mi taza de dibujitos,Rutinas Diarias (Acciones y Hogar),quiero mi taza de dibujitos,"['quiero', 'mi', 'taza', 'de', 'dibujitos']","['quiero mi', 'mi taza', 'taza de', 'de dibujitos']","['quiero mi taza', 'mi taza de', 'taza de dibujitos']"
me gusta comer con las manos,Alimentacion (Comidas y Bebidas),me gusta comer con las manos,"['me', 'gusta', 'comer', 'con', 'las', 'manos']","['me gusta', 'gusta comer', 'comer con', 'con las', 'las manos']","['me gusta comer', 'gusta comer con', 'comer con las', 'con las manos']"
usa la cuchara,Rutinas Diarias (Acciones y Hogar),usa la cuchara,"['usa', 'la', 'cuchara']","['usa la', 'la cuchara']",['usa la cuchara']
come con el tenedor,Rutinas Diarias (Acciones y Hogar),come con el tenedor,"['come', 'con', 'el', 'tenedor']","['come con', 'con el', 'el tenedor']","['come con el', 'con el tenedor']"
no juegues con la comida,Rutinas Diarias (Acciones y Hogar),no juegues con la comida,"['no', 'juegues', 'con', 'la', 'comida']","['no juegues', 'juegues con', 'con la', 'la comida']","['no juegues con', 'juegues con la', 'con la comida']"
termina tu comida,Rutinas Diarias (Acciones y Hogar),termina tu comida,"['termina', 'tu', 'comida']","['termina tu', 'tu comida']",['termina tu comida']
mastica bien,Rutinas Diarias (Acciones y Hogar),mastica bien,"['mastica', 'bien']",['mastica bien'],[]
traga la comida,Rutinas Diarias (Acciones y Hogar),traga la comida,"['traga', 'la', 'comida']","['traga la', 'la comida']",['traga la comida']
no hables con la boca llena,Rutinas Diarias (Acciones y Hogar),no hables con la boca llena,"['no', 'hables', 'con', 'la', 'boca', 'llena']","['no hables', 'hables con', 'con la', 'la boca', 'boca llena']","['no hables con', 'hables con la', 'con la boca', 'la boca llena']"
quiero un queque,Rutinas Diarias (Acciones y Hogar),quiero un queque,"['quiero', 'un', 'queque']","['quiero un', 'un queque']",['quiero un queque']
horneemos galletas,Alimentacion (Comidas y Bebidas),horneemos galletas,"['horneemos', 'galletas']",['horneemos galletas'],[]
dame una ensalada de frutas,Alimentacion (Comidas y Bebidas),dame una ensalada de frutas,"['dame', 'una', 'ensalada', 'de', 'frutas']","['dame una', 'una ensalada', 'ensalada de', 'de frutas']","['dame una ensalada', 'una ensalada de', 'ensalada de frutas']"
quiero sandia,Rutinas Diarias (Acciones y Hogar),quiero sandia,"['quiero', 'sandia']",['quiero sandia'],[]
me gusta el melon,Rutinas Diarias (Acciones y Hogar),me gusta el melon,"['me', 'gusta', 'el', 'melon']","['me gusta', 'gusta el', 'el melon']","['me gusta el', 'gusta el melon']"
dame un durazno,Rutinas Diarias (Acciones y Hogar),dame un durazno,"['dame', 'un', 'durazno']","['dame un', 'un durazno']",['dame un durazno']
puedo comer mani,Alimentacion (Comidas y Bebidas),puedo comer mani,"['puedo', 'comer', 'mani']","['puedo comer', 'comer mani']",['puedo comer mani']
quiero almendras,Rutinas Diarias (Acciones y Hogar),quiero almendras,"['quiero', 'almendras']",['quiero almendras'],[]
me das nueces,Rutinas Diarias (Acciones y Hogar),me das nueces,"['me', 'das', 'nueces']","['me das', 'das nueces']",['me das nueces']
no me gusta la palta,Rutinas Diarias (Acciones y Hogar),no me gusta la palta,"['no', 'me', 'gusta', 'la', 'palta']","['no me', 'me gusta', 'gusta la', 'la palta']","['no me gusta', 'me gusta la', 'gusta la palta']"
quiero un te caliente,Alimentacion (Comidas y Bebidas),quiero un te caliente,"['quiero', 'un', 'te', 'caliente']","['quiero un', 'un te', 'te caliente']","['quiero un te', 'un te caliente']"
dame una infusion,Rutinas Diarias (Acciones y Hogar),dame una infusion,"['dame', 'una', 'infusion']","['dame una', 'una infusion']",['dame una infusion']
me invitas un caramelo,Rutinas Diarias (Acciones y Hogar),me invitas un caramelo,"['me', 'invitas', 'un', 'caramelo']","['me invitas', 'invitas un', 'un caramelo']","['me invitas un', 'invitas un caramelo']"
partido por la mitad,Rutinas Diarias (Acciones y Hogar),partido por la mitad,"['partido', 'por', 'la', 'mitad']","['partido por', 'por la', 'la mitad']","['partido por la', 'por la mitad']"
quiero un pedazo grande,Rutinas Diarias (Acciones y Hogar),quiero un pedazo grande,"['quiero', 'un', 'pedazo', 'grande']","['quiero un', 'un pedazo', 'pedazo grande']","['quiero un pedazo', 'un pedazo grande']"
solo un pedacito,Rutinas Diarias (Acciones y Hogar),solo un pedacito,"['solo', 'un', 'pedacito']","['solo un', 'un pedacito']",['solo un pedacito']
esta muy agrio,Rutinas Diarias (Acciones y Hogar),esta muy agrio,"['esta', 'muy', 'agrio']","['esta muy', 'muy agrio']",['esta muy agrio']
sabe amargo,Rutinas Diarias (Acciones y Hogar),sabe amargo,"['sabe', 'amargo']",['sabe amargo'],[]
me gusta lo salado,Rutinas Diarias (Acciones y Hogar),me gusta lo salado,"['me', 'gusta', 'lo', 'salado']","['me gusta', 'gusta lo', 'lo salado']","['me gusta lo', 'gusta lo salado']"
quiero mas azucar,Rutinas Diarias (Acciones y Hogar),quiero mas azucar,"['quiero', 'mas', 'azucar']","['quiero mas', 'mas azucar']",['quiero mas azucar']
echale miel,Rutinas Diarias (Acciones y Hogar),echale miel,"['echale', 'miel']",['echale miel'],[]
dame pan con jamon,Alimentacion (Comidas y Bebidas),dame pan con jamon,"['dame', 'pan', 'con', 'jamon']","['dame pan', 'pan con', 'con jamon']","['dame pan con', 'pan con jamon']"
quiero jamonada,Rutinas Diarias (Acciones y Hogar),quiero jamonada,"['quiero', 'jamonada']",['quiero jamonada'],[]
un pan con hotdog,Alimentacion (Comidas y Bebidas),un pan con hotdog,"['un', 'pan', 'con', 'hotdog']","['un pan', 'pan con', 'con hotdog']","['un pan con', 'pan con hotdog']"
me fries un huevo,Rutinas Diarias (Acciones y Hogar),me fries un huevo,"['me', 'fries', 'un', 'huevo']","['me fries', 'fries un', 'un huevo']","['me fries un', 'fries un huevo']"
huevo revuelto por favor,Rutinas Diarias (Acciones y Hogar),huevo revuelto por favor,"['huevo', 'revuelto', 'por', 'favor']","['huevo revuelto', 'revuelto por', 'por favor']","['huevo revuelto por', 'revuelto por favor']"
quiero un omelette,Rutinas Diarias (Acciones y Hogar),quiero un omelette,"['quiero', 'un', 'omelette']","['quiero un', 'un omelette']",['quiero un omelette']
dame una tortilla,Rutinas Diarias (Acciones y Hogar),dame una tortilla,"['dame', 'una', 'tortilla']","['dame una', 'una tortilla']",['dame una tortilla']
la sopa esta aguada,Alimentacion (Comidas y Bebidas),la sopa esta aguada,"['la', 'sopa', 'esta', 'aguada']","['la sopa', 'sopa esta', 'esta aguada']","['la sopa esta', 'sopa esta aguada']"
esta muy espeso,Rutinas Diarias (Acciones y Hogar),esta muy espeso,"['esta', 'muy', 'espeso']","['esta muy', 'muy espeso']",['esta muy espeso']
quiero mas pollo,Alimentacion (Comidas y Bebidas),quiero mas pollo,"['quiero', 'mas', 'pollo']","['quiero mas', 'mas pollo']",['quiero mas pollo']
dame mas carne,Alimentacion (Comidas y Bebidas),dame mas carne,"['dame', 'mas', 'carne']","['dame mas', 'mas carne']",['dame mas carne']
solo quiero el arroz,Alimentacion (Comidas y Bebidas),solo quiero el arroz,"['solo', 'quiero', 'el', 'arroz']","['solo quiero', 'quiero el', 'el arroz']","['solo quiero el', 'quiero el arroz']"
no me eches frejoles,Rutinas Diarias (Acciones y Hogar),no me eches frejoles,"['no', 'me', 'eches', 'frejoles']","['no me', 'me eches', 'eches frejoles']","['no me eches', 'me eches frejoles']"
me gustan las lentejas,Rutinas Diarias (Acciones y Hogar),me gustan las lentejas,"['me', 'gustan', 'las', 'lentejas']","['me gustan', 'gustan las', 'las lentejas']","['me gustan las', 'gustan las lentejas']"
quiero garbanzos,Rutinas Diarias (Acciones y Hogar),quiero garbanzos,"['quiero', 'garbanzos']",['quiero garbanzos'],[]
dame quinua,Rutinas Diarias (Acciones y Hogar),dame quinua,"['dame', 'quinua']",['dame quinua'],[]
me gusta la avena,Rutinas Diarias (Acciones y Hogar),me gusta la avena,"['me', 'gusta', 'la', 'avena']","['me gusta', 'gusta la', 'la avena']","['me gusta la', 'gusta la avena']"
quiero mi avena con leche,Alimentacion (Comidas y Bebidas),quiero mi avena con leche,"['quiero', 'mi', 'avena', 'con', 'leche']","['quiero mi', 'mi avena', 'avena con', 'con leche']","['quiero mi avena', 'mi avena con', 'avena con leche']"
dame un chocolate caliente,Rutinas Diarias (Acciones y Hogar),dame un chocolate caliente,"['dame', 'un', 'chocolate', 'caliente']","['dame un', 'un chocolate', 'chocolate caliente']","['dame un chocolate', 'un chocolate caliente']"
hace frio tengo hambre,Necesidades Basicas (Higiene y Fisiologia),hace frio tengo hambre,"['hace', 'frio', 'tengo', 'hambre']","['hace frio', 'frio tengo', 'tengo hambre']","['hace frio tengo', 'frio tengo hambre']"
la barriga me suena,Rutinas Diarias (Acciones y Hogar),la barriga me suena,"['la', 'barriga', 'me', 'suena']","['la barriga', 'barriga me', 'me suena']","['la barriga me', 'barriga me suena']"
ya es hora de comer,Alimentacion (Comidas y Bebidas),ya es hora de comer,"['ya', 'es', 'hora', 'de', 'comer']","['ya es', 'es hora', 'hora de', 'de comer']","['ya es hora', 'es hora de', 'hora de comer']"
cuando esta el almuerzo,Alimentacion (Comidas y Bebidas),cuando esta el almuerzo,"['cuando', 'esta', 'el', 'almuerzo']","['cuando esta', 'esta el', 'el almuerzo']","['cuando esta el', 'esta el almuerzo']"
falta mucho para la cena,Alimentacion (Comidas y Bebidas),falta mucho para la cena,"['falta', 'mucho', 'para', 'la', 'cena']","['falta mucho', 'mucho para', 'para la', 'la cena']","['falta mucho para', 'mucho para la', 'para la cena']"
dame una manzana acaramelada,Rutinas Diarias (Acciones y Hogar),dame una manzana acaramelada,"['dame', 'una', 'manzana', 'acaramelada']","['dame una', 'una manzana', 'manzana acaramelada']","['dame una manzana', 'una manzana acaramelada']"
quiero algodon de azucar,Rutinas Diarias (Acciones y Hogar),quiero algodon de azucar,"['quiero', 'algodon', 'de', 'azucar']","['quiero algodon', 'algodon de', 'de azucar']","['quiero algodon de', 'algodon de azucar']"
vamos a la tienda,Rutinas Diarias (Acciones y Hogar),vamos a la tienda,"['vamos', 'a', 'la', 'tienda']","['vamos a', 'a la', 'la tienda']","['vamos a la', 'a la tienda']"
comprame algo,Rutinas Diarias (Acciones y Hogar),comprame algo,"['comprame', 'algo']",['comprame algo'],[]
tengo antojo,Rutinas Diarias (Acciones y Hogar),tengo antojo,"['tengo', 'antojo']",['tengo antojo'],[]
se me antoja un dulce,Rutinas Diarias (Acciones y Hogar),se me antoja un dulce,"['se', 'me', 'antoja', 'un', 'dulce']","['se me', 'me antoja', 'antoja un', 'un dulce']","['se me antoja', 'me antoja un', 'antoja un dulce']"
quiero un chupete,Rutinas Diarias (Acciones y Hogar),quiero un chupete,"['quiero', 'un', 'chupete']","['quiero un', 'un chupete']",['quiero un chupete']
me das una chupeta,Rutinas Diarias (Acciones y Hogar),me das una chupeta,"['me', 'das', 'una', 'chupeta']","['me das', 'das una', 'una chupeta']","['me das una', 'das una chupeta']"
quiero una gaseosa,Necesidades Basicas (Higiene y Fisiologia),quiero una gaseosa,"['quiero', 'una', 'gaseosa']","['quiero una', 'una gaseosa']",['quiero una gaseosa']
dame una soda,Rutinas Diarias (Acciones y Hogar),dame una soda,"['dame', 'una', 'soda']","['dame una', 'una soda']",['dame una soda']
invitame un refresco,Rutinas Diarias (Acciones y Hogar),invitame un refresco,"['invitame', 'un', 'refresco']","['invitame un', 'un refresco']",['invitame un refresco']
quiero chicha morada,Rutinas Diarias (Acciones y Hogar),quiero chicha morada,"['quiero', 'chicha', 'morada']","['quiero chicha', 'chicha morada']",['quiero chicha morada']
dame un jugo de naranja,Alimentacion (Comidas y Bebidas),dame un jugo de naranja,"['dame', 'un', 'jugo', 'de', 'naranja']","['dame un', 'un jugo', 'jugo de', 'de naranja']","['dame un jugo', 'un jugo de', 'jugo de naranja']"
quiero un jugo surtido,Alimentacion (Comidas y Bebidas),quiero un jugo surtido,"['quiero', 'un', 'jugo', 'surtido']","['quiero un', 'un jugo', 'jugo surtido']","['quiero un jugo', 'un jugo surtido']"
dame un extractor,Rutinas Diarias (Acciones y Hogar),dame un extractor,"['dame', 'un', 'extractor']","['dame un', 'un extractor']",['dame un extractor']
licuado de platano,Rutinas Diarias (Acciones y Hogar),licuado de platano,"['licuado', 'de', 'platano']","['licuado de', 'de platano']",['licuado de platano']
quiero un batido,Rutinas Diarias (Acciones y Hogar),quiero un batido,"['quiero', 'un', 'batido']","['quiero un', 'un batido']",['quiero un batido']
dame un milkshake,Rutinas Diarias (Acciones y Hogar),dame un milkshake,"['dame', 'un', 'milkshake']","['dame un', 'un milkshake']",['dame un milkshake']
quiero un submarino,Rutinas Diarias (Acciones y Hogar),quiero un submarino,"['quiero', 'un', 'submarino']","['quiero un', 'un submarino']",['quiero un submarino']
me gusta el cafe con leche,Alimentacion (Comidas y Bebidas),me gusta el cafe con leche,"['me', 'gusta', 'el', 'cafe', 'con', 'leche']","['me gusta', 'gusta el', 'el cafe', 'cafe con', 'con leche']","['me gusta el', 'gusta el cafe', 'el cafe con', 'cafe con leche']"
dame pan tostado,Alimentacion (Comidas y Bebidas),dame pan tostado,"['dame', 'pan', 'tostado']","['dame pan', 'pan tostado']",['dame pan tostado']
tuesta el pan,Alimentacion (Comidas y Bebidas),tuesta el pan,"['tuesta', 'el', 'pan']","['tuesta el', 'el pan']",['tuesta el pan']
echale mantequilla,Rutinas Diarias (Acciones y Hogar),echale mantequilla,"['echale', 'mantequilla']",['echale mantequilla'],[]
